C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.27CEST21:49:39,,,,,,,,,,,
,,,,,,,,,,,
PN K,,,,,,,,,,,
----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 1,,,,,,,,,,,
,,,,,,,,,,,
 # ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,   radvel   ,  redshift  ,     cz     ,#not
98,PN K       ,PN K 3-46,PN ,19 50 00.313 +33 45 51.84,19 48 06.140 +33 38 12.77,069.214172 +03.807482,            ~ ~ ,~           ,~           ,~           ,0
99,PN K       ,V* AA Vul                          ,Mi*,19 50 26.0477906880 +28 11 19.549038444,19 48 24.0073699952 +28 03 39.504058637,064.4517658328910 +00.8990812013165,-5.901 -8.951,~           ,~           ,~           ,2
100,PN K       ,PN K 3-48,PN ,19 52 09.126 +27 18 30.99,19 50 05.781 +27 10 43.88,063.889000 +00.122893,            ~ ~ ,~           ,~           ,~           ,0
101,PN K       ,PN K 3-49,PN ,19 54 00.6166935384 +33 22 12.491081616,19 52 05.5099240445 +33 14 18.230459567,069.2999819867972 +02.8887126471420,-3.375 -5.534,~           ,~           ,~           ,0
102,PN K       ,W 58a,HII,20 01 45.8 +33 32 43,19 59 50.2 +33 24 19,070.2929 +01.5998,            ~ ~ ,~           ,~           ,~           ,4
103,PN K       ,PN K 3-51,PN ,20 02 36.3437939620 +17 36 50.900740593,20 00 20.7995702176 +17 28 24.548214610,056.8293624766391 -06.9621269328660,-3.450 -6.663,~           ,~           ,~           ,0
104,PN K       ,PN K 3-52,PN ,20 03 11.44 +30 32 34.1,20 01 11.51 +30 24 04.7,067.90799 -00.24940,            ~ ~ ,~           ,~           ,~           ,0
105,PN K       ,PN K 3-53,PN ,20 03 22.46 +27 00 54.8,20 01 17.92 +26 52 24.9,064.94129 -02.15960,            ~ ~ ,~           ,~           ,~           ,0
106,PN K       ,PN K 3-54,PN ,20 04 58.6341865368 +25 26 37.272489324,20 02 52.0267429389 +25 18 01.591579847,063.8010208966964 -03.3005214220380,-2.247 -3.755,~           ,~           ,~           ,0
107,PN K       ,PN K 3-55,PN ,20 06 56.2756808832 +32 16 37.344147528,20 04 58.3847366860 +32 07 54.124940900,069.8006991591561 +00.0043617103748,-1.551 -4.753,~           ,~           ,~           ,1
108,PN K       ,PN K 3-56,PN ,20 06 55.385 +44 14 18.65,20 05 16.917 +44 05 34.67,079.914994 +06.423713,            ~ ~ ,~           ,~           ,~           ,0
109,PN K       ,PN K 3-57,PN ,20 12 47.725 +34 20 32.79,20 10 52.137 +34 11 27.60,072.199280 +00.104271,            ~ ~ ,~           ,~           ,~           ,0
110,PN K       ,PN K 3-58,PN ,20 21 58.279 +29 59 21.08,20 19 55.889 +29 49 42.87,069.676418 -03.940791,            ~ ~ ,~           ,~           ,~           ,0
111,PN K       ,PN K 3-59,Sy*,20 25 10.5859744584 +43 52 33.043244664,20 23 28.5853360653 +43 42 43.027367313,081.4323860901401 +03.4913929637169,-2.841 -3.135,~           ,~           ,~           ,1
112,PN K       ,PN K 3-60,PN ,21 27 26.47944 +57 39 06.1704,21 25 57.83471 +57 26 00.0702,098.26468222 +04.90660105,            ~ ~ ,~           ,~           ,~           ,0
113,PN K       ,PN K 3-61,PN ,21 30 00.7565699064 +54 27 27.195110712,21 28 23.9449568611 +54 14 14.427334571,096.3166740332941 +02.3468482327367,-2.564 -1.594,~           ,~           ,~           ,0
114,PN K       ,PN K 3-62,PN ,21 31 50.1857850312 +52 33 51.571785996,21 30 09.0277259047 +52 20 34.044482852,095.2205001499761 +00.7793146588269,-1.195 -1.594,~           ,~           ,~           ,1
115,PN K       ,PN K 3-63,PN ,21 39 11.976 +55 46 03.94,21 37 34.836 +55 32 27.19,098.171661 +02.428357,            ~ ~ ,~           ,~           ,~           ,0
116,PN K       ,PN K 3-64,PN ,04 13 27.255 +51 51 00.92,04 09 37.983 +51 43 24.26,151.401632 +00.511289,            ~ ~ ,~           ,~           ,~           ,0
117,PN K       ,PN K 3-65,PN ,04 15 54.53 +48 49 40.1,04 12 12.57 +48 42 13.2,153.77034 -01.40665,            ~ ~ ,~           ,~           ,~           ,0
118,PN K       ,PN K 3-66,PN ,04 36 37.2375115440 +33 39 30.074689980,04 33 22.1138320274 +33 33 26.876352418,167.4629792240695 -09.1108059827244,0.317 -0.384,~           ,~           ,~           ,0
119,PN K       ,PN K 3-67,PN ,04 39 47.92824 +36 45 42.6276,04 36 27.51163 +36 39 52.2240,165.54326889 -06.57372940,            ~ ~ ,~           ,~           ,~           ,0
120,PN K       ,PN K 3-68,PN ,05 31 35.856 +28 58 41.55,05 28 25.461 +28 56 30.79,178.326625 -02.571237,            ~ ~ ,~           ,~           ,~           ,0
121,PN K       ,PN K 3-69,PN ,05 41 22.1331492696 +39 15 07.885515492,05 37 54.0527774971 +39 13 38.662857827,170.7398437247934 +04.6505841159180,-1.602 5.994,~           ,~           ,~           ,0
122,PN K       ,PN K 3-70,PN ,05 58 45.3548777928 +25 18 43.910433216,05 55 40.0236296648 +25 18 31.701160895,184.6072289510097 +00.6670270294801,            ~ ~ ,~           ,~           ,~           ,0
